TRANSACTION_NUMBER,INSTANCE_DATE,GROUP_EN,PROCEDURE_EN,IS_OFFPLAN_EN,IS_FREE_HOLD_EN,USAGE_EN,AREA_EN,PROP_TYPE_EN,PROP_SB_TYPE_EN,TRANS_VALUE,PROCEDURE_AREA,ACTUAL_AREA,ROOMS_EN,PARKING,NEAREST_METRO_EN,NEAREST_MALL_EN,NEAREST_LANDMARK_EN,TOTAL_BUYER,TOTAL_SELLER,MASTER_PROJECT_EN,PROJECT_EN
"11-1-2026","2026-06-25 00:00:00","Sales","Sale","Ready","Free Hold","Residential","EMIRATE LIVING","Building","Villa","3250000","172.5","172.5","2 B/R","","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","Emirates Living - Springs 8"
"11-13783-2026","2026-07-08 11:34:28","Sales","Sale","Ready","Free Hold","Residential","DUBAI MARINA","Unit","Flat","2060000","123.56","123.56","2 B/R","P2-51","Mina Seyahi","Marina Mall","Burj Al Arab","0","0","","ELITE RESIDENCE"
"11-13788-2026","2026-06-03 13:57:03","Sales","Sale","Ready","Free Hold","Residential","DUBAI CREEK HARBOUR","Unit","Flat","2050000","126.79","126.79","1 B/R","B1-260","Creek Metro Station","City Centre Mirdif","Dubai International Airport","0","0","","17 ICON BAY"
"11-15101-2026","2026-06-23 15:03:56","Sales","Sale","Ready","Free Hold","Residential","Al Yufrah 1","Building","Villa","2700000","176.9","176.9","3 B/R","","","","","0","0","","The Valley - Orania"
"11-15142-2026","2026-06-08 10:52:36","Sales","Sale","Ready","Free Hold","Residential","TOWN SQUARE","Unit","Flat","530000","32.82","32.82","Studio","P-41","","","Dubai Cycling Course","0","0","","UNA"
"11-15199-2026","2026-06-02 09:23:24","Sales","Sale","Ready","Free Hold","Residential","DUBAI SPORTS CITY","Unit","Flat","1155000","96.39","96.39","2 B/R","B2-29","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","THE BRIDGE"
"11-15202-2026","2026-06-02 09:30:08","Sales","Sale","Ready","Free Hold","Residential","DUBAI SPORTS CITY","Unit","Flat","601268","57.89","57.89","Studio","B1-259","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","THE SPIRIT"
"11-15548-2026","2026-06-09 10:01:43","Sales","Sale","Ready","Free Hold","Residential","THE GREENS","Unit","Flat","1270000","70.44","70.44","1 B/R","B-391","Dubai Internet City","Marina Mall","Burj Al Arab","0","0","",""
"11-15888-2026","2026-06-04 13:09:14","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","847330","72.49","72.49","1 B/R","B2_16","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","",""
"11-16060-2026","2026-07-01 12:26:29","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1975000","134.68","134.68","3 B/R","G-43, G-56","Dubai Internet City","Marina Mall","Sports City Swimming Academy","0","0","","Beverly Residence"
"11-16316-2026","2026-06-08 12:28:28","Sales","Sale","Ready","Free Hold","Residential","PALM JUMEIRAH","Unit","Flat","6900000","309.24","309.24","3 B/R","Building 4-B3-120","Palm Jumeirah","Marina Mall","Burj Al Arab","0","0","","GOLDEN MILE"
"11-16343-2026","2026-06-04 13:24:42","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Office","2470001.9","191.2","191.2","Office","B4-92,B4-93,B4-94","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","0","0","",""
"11-16602-2026","2026-06-05 12:03:18","Sales","Sale","Ready","Free Hold","Residential","MAJAN","Unit","Flat","1250000","92.61","92.61","2 B/R","G-89","","","IMG World Adventures","0","0","","THE HAVEN"
"11-16683-2026","2026-06-04 08:50:42","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1285000","60.74","60.74","1 B/R","B3-07","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","The Paragon By IGO "
"11-16690-2026","2026-06-01 09:10:12","Sales","Sale","Ready","Free Hold","Residential","ARJAN","Unit","Flat","665000","33.83","33.83","Studio","G-101","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","0","0","","TORINO BY ORO24"
"11-16731-2026","2026-06-01 11:28:16","Sales","Sale","Ready","Non Free Hold","Residential","Al Waheda","Land","Residential","1800000","232.26","232.26","","","Abu Hail Metro Station","","Dubai International Airport","0","0","",""
"11-16740-2026","2026-07-13 14:49:31","Sales","Sale","Ready","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","3800000","159.15","159.15","2 B/R","B4-74","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Burj Khalifa","0","0","","Opera Grand"
"11-16751-2026","2026-06-04 10:27:21","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Office","3590397","73.78","73.78","NA","B5-164","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","0","0","","AL MAS TOWER"
